name,type,fee,desc,hours,city
"The Great Okinawa Natural History Museum",Museum,17.00,"A world-class cultural institution in Okinawa housing thousands of priceless historical and artistic treasures.","8:00 - 19:00",Okinawa
"Seattle Observatory",Landmark,38.00,"A masterpiece of engineering and art. No visit to Seattle is complete without seeing this majestic structure.","10:00 - 19:00",Seattle
"Quebec City Cathedral",Historic,28.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Quebec City.","8:00 - 16:00","Quebec City"
"The Great Paris Cultural Centre",Museum,42.00,"Discover the fascinating origins of Paris through beautifully curated galleries and expert-led tours.","8:00 - 18:00",Paris
"The Great Berlin Aviation Museum",Museum,45.00,"A world-class cultural institution in Berlin housing thousands of priceless historical and artistic treasures.","10:00 - 16:00",Berlin
"Calgary Castle Ruins",Historic,41.00,"Step back in time and walk the ancient grounds where Calgary's most defining historical moments took place.","10:00 - 20:00",Calgary
"The Great Cologne Square",Landmark,30.00,"An iconic symbol of Cologne's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 16:00",Cologne
"The Great Dubai Royal Palace",Historic,32.00,"Centuries of history are embedded in the walls of this famous historical site located right in Dubai.","10:00 - 16:00",Dubai
"The Great Montpellier Nature Reserve",Nature,0.00,"Lush green spaces and spectacular panoramic views make this one of Montpellier's most cherished outdoor destinations.","10:00 - 20:00",Montpellier
"New York Hillside Park",Nature,37.00,"Experience the breathtaking natural beauty of New York at this serene location, offering scenic trails and native wildlife.","9:00 - 17:00","New York"
"Granada Central Plaza",Landmark,31.00,"An iconic symbol of Granada's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 16:00",Granada
"The Great Okinawa Central Plaza",Landmark,12.00,"A masterpiece of engineering and art. No visit to Okinawa is complete without seeing this majestic structure.","10:00 - 17:00",Okinawa
"Bilbao Observatory",Landmark,19.00,"An iconic symbol of Bilbao's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 16:00",Bilbao
"The Great Pretoria Museum of Art",Museum,37.00,"A world-class cultural institution in Pretoria housing thousands of priceless historical and artistic treasures.","10:00 - 20:00",Pretoria
"Boston Old Town Hall",Historic,44.00,"Step back in time and walk the ancient grounds where Boston's most defining historical moments took place.","10:00 - 18:00",Boston
"Nuremberg Old Town Hall",Historic,26.00,"Centuries of history are embedded in the walls of this famous historical site located right in Nuremberg.","8:00 - 17:00",Nuremberg
"The Great Durban Square",Landmark,10.00,"One of the most photographed monuments in Durban, featuring stunning design and cultural significance.","8:00 - 18:00",Durban
"The Great Madrid Cathedral",Historic,0.00,"Centuries of history are embedded in the walls of this famous historical site located right in Madrid.","8:00 - 18:00",Madrid
"The Great Halifax Cathedral",Historic,21.00,"Centuries of history are embedded in the walls of this famous historical site located right in Halifax.","10:00 - 20:00",Halifax
"Los Angeles Heritage House",Historic,0.00,"Step back in time and walk the ancient grounds where Los Angeles's most defining historical moments took place.","10:00 - 18:00","Los Angeles"
"Lyon Gallery",Museum,37.00,"Immerse yourself in Lyon's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 17:00",Lyon
"The Great Naples Tower",Landmark,45.00,"One of the most photographed monuments in Naples, featuring stunning design and cultural significance.","10:00 - 17:00",Naples
"Bloemfontein Gallery",Museum,33.00,"A world-class cultural institution in Bloemfontein housing thousands of priceless historical and artistic treasures.","9:00 - 16:00",Bloemfontein
"Ottawa Gallery",Museum,5.00,"Immerse yourself in Ottawa's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 16:00",Ottawa
"Ottawa River Walk",Nature,21.00,"A perfectly preserved natural reserve in the heart of Ottawa. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 16:00",Ottawa
"The Great Bordeaux Central Plaza",Landmark,29.00,"One of the most photographed monuments in Bordeaux, featuring stunning design and cultural significance.","10:00 - 16:00",Bordeaux
"The Great Hobart Tower",Landmark,0.00,"One of the most photographed monuments in Hobart, featuring stunning design and cultural significance.","9:00 - 19:00",Hobart
"Montpellier Wildlife Sanctuary",Nature,9.00,"A perfectly preserved natural reserve in the heart of Montpellier. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 16:00",Montpellier
"The Great Mallorca Hillside Park",Nature,43.00,"Lush green spaces and spectacular panoramic views make this one of Mallorca's most cherished outdoor destinations.","9:00 - 16:00",Mallorca
"Port Elizabeth Nature Reserve",Nature,15.00,"Lush green spaces and spectacular panoramic views make this one of Port Elizabeth's most cherished outdoor destinations.","10:00 - 16:00","Port Elizabeth"
"The Great Ibiza Old Town Hall",Historic,25.00,"Centuries of history are embedded in the walls of this famous historical site located right in Ibiza.","9:00 - 17:00",Ibiza
"Palermo Hillside Park",Nature,40.00,"Lush green spaces and spectacular panoramic views make this one of Palermo's most cherished outdoor destinations.","8:00 - 20:00",Palermo
"Hamburg Heritage House",Historic,36.00,"Centuries of history are embedded in the walls of this famous historical site located right in Hamburg.","10:00 - 18:00",Hamburg
"The Great Okinawa Nature Reserve",Nature,0.00,"Experience the breathtaking natural beauty of Okinawa at this serene location, offering scenic trails and native wildlife.","10:00 - 18:00",Okinawa
"Barcelona Botanical Gardens",Nature,43.00,"Experience the breathtaking natural beauty of Barcelona at this serene location, offering scenic trails and native wildlife.","10:00 - 20:00",Barcelona
"Dubai River Walk",Nature,0.00,"Experience the breathtaking natural beauty of Dubai at this serene location, offering scenic trails and native wildlife.","8:00 - 17:00",Dubai
"The Great Brisbane Central Plaza",Landmark,29.00,"An iconic symbol of Brisbane's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 19:00",Brisbane
"Durban Botanical Gardens",Nature,24.00,"A perfectly preserved natural reserve in the heart of Durban. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 17:00",Durban
"The Great Valencia Science Exhibit",Museum,0.00,"A world-class cultural institution in Valencia housing thousands of priceless historical and artistic treasures.","10:00 - 18:00",Valencia
"The Great Kimberley Hillside Park",Nature,28.00,"Lush green spaces and spectacular panoramic views make this one of Kimberley's most cherished outdoor destinations.","10:00 - 20:00",Kimberley
"Hamburg Old Town Hall",Historic,37.00,"Centuries of history are embedded in the walls of this famous historical site located right in Hamburg.","10:00 - 17:00",Hamburg
"New York Heritage House",Historic,39.00,"Step back in time and walk the ancient grounds where New York's most defining historical moments took place.","9:00 - 16:00","New York"
"Whistler Wildlife Sanctuary",Nature,23.00,"Lush green spaces and spectacular panoramic views make this one of Whistler's most cherished outdoor destinations.","10:00 - 18:00",Whistler
"Hamburg Nature Reserve",Nature,0.00,"Experience the breathtaking natural beauty of Hamburg at this serene location, offering scenic trails and native wildlife.","9:00 - 20:00",Hamburg
"Genoa Ancient Fort",Historic,45.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Genoa.","9:00 - 20:00",Genoa
"The Great Palermo Science Exhibit",Museum,0.00,"Immerse yourself in Palermo's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 18:00",Palermo
"Valencia River Walk",Nature,8.00,"A perfectly preserved natural reserve in the heart of Valencia. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 18:00",Valencia
"The Great Melbourne Hillside Park",Nature,25.00,"Experience the breathtaking natural beauty of Melbourne at this serene location, offering scenic trails and native wildlife.","9:00 - 16:00",Melbourne
"Seattle Monument",Landmark,24.00,"One of the most photographed monuments in Seattle, featuring stunning design and cultural significance.","8:00 - 20:00",Seattle
"Bordeaux Cultural Centre",Museum,22.00,"Discover the fascinating origins of Bordeaux through beautifully curated galleries and expert-led tours.","8:00 - 19:00",Bordeaux
"The Great Okinawa Heritage House",Historic,32.00,"Step back in time and walk the ancient grounds where Okinawa's most defining historical moments took place.","9:00 - 20:00",Okinawa
"The Great Kobe Monument",Landmark,0.00,"An iconic symbol of Kobe's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 18:00",Kobe
"Lille Science Exhibit",Museum,24.00,"A world-class cultural institution in Lille housing thousands of priceless historical and artistic treasures.","9:00 - 18:00",Lille
"The Great New York Heritage House",Historic,39.00,"Step back in time and walk the ancient grounds where New York's most defining historical moments took place.","9:00 - 16:00","New York"
"Perth Square",Landmark,34.00,"A masterpiece of engineering and art. No visit to Perth is complete without seeing this majestic structure.","8:00 - 17:00",Perth
"Lyon Castle Ruins",Historic,20.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Lyon.","10:00 - 16:00",Lyon
"The Great Montreal Observatory",Landmark,13.00,"An iconic symbol of Montreal's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 17:00",Montreal
"Quebec City Science Exhibit",Museum,0.00,"Immerse yourself in Quebec City's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 17:00","Quebec City"
"The Great Toronto Observatory",Landmark,0.00,"An iconic symbol of Toronto's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 16:00",Toronto
"The Great Paris Cultural Centre",Museum,24.00,"A world-class cultural institution in Paris housing thousands of priceless historical and artistic treasures.","8:00 - 18:00",Paris
"The Great Frankfurt Square",Landmark,0.00,"A masterpiece of engineering and art. No visit to Frankfurt is complete without seeing this majestic structure.","8:00 - 17:00",Frankfurt
"Rome Museum of Art",Museum,33.00,"A world-class cultural institution in Rome housing thousands of priceless historical and artistic treasures.","10:00 - 20:00",Rome
"The Great Liverpool Museum of Art",Museum,37.00,"A world-class cultural institution in Liverpool housing thousands of priceless historical and artistic treasures.","8:00 - 17:00",Liverpool
"Tokyo Cultural Centre",Museum,0.00,"Immerse yourself in Tokyo's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 19:00",Tokyo
"The Great East London Wildlife Sanctuary",Nature,5.00,"Experience the breathtaking natural beauty of East London at this serene location, offering scenic trails and native wildlife.","10:00 - 16:00","East London"
"London Bridge",Landmark,28.00,"One of the most photographed monuments in London, featuring stunning design and cultural significance.","8:00 - 18:00",London
"Seville Central Plaza",Landmark,45.00,"One of the most photographed monuments in Seville, featuring stunning design and cultural significance.","8:00 - 16:00",Seville
"The Great Calgary Science Exhibit",Museum,39.00,"Discover the fascinating origins of Calgary through beautifully curated galleries and expert-led tours.","8:00 - 18:00",Calgary
"The Great Nara Bridge",Landmark,0.00,"One of the most photographed monuments in Nara, featuring stunning design and cultural significance.","10:00 - 19:00",Nara
"The Great Birmingham Wildlife Sanctuary",Nature,22.00,"Lush green spaces and spectacular panoramic views make this one of Birmingham's most cherished outdoor destinations.","8:00 - 16:00",Birmingham
"Lyon Science Exhibit",Museum,0.00,"Immerse yourself in Lyon's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 20:00",Lyon
"The Great Strasbourg Monument",Landmark,13.00,"One of the most photographed monuments in Strasbourg, featuring stunning design and cultural significance.","8:00 - 17:00",Strasbourg
"Toulouse Monument",Landmark,16.00,"A masterpiece of engineering and art. No visit to Toulouse is complete without seeing this majestic structure.","10:00 - 17:00",Toulouse
"Ibiza Tower",Landmark,0.00,"An iconic symbol of Ibiza's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 18:00",Ibiza
"Paris Botanical Gardens",Nature,42.00,"A perfectly preserved natural reserve in the heart of Paris. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 17:00",Paris
"The Great Glasgow Botanical Gardens",Nature,21.00,"Lush green spaces and spectacular panoramic views make this one of Glasgow's most cherished outdoor destinations.","8:00 - 19:00",Glasgow
"The Great Belfast National Park",Nature,0.00,"A perfectly preserved natural reserve in the heart of Belfast. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 16:00",Belfast
"Gold Coast Observatory",Landmark,37.00,"One of the most photographed monuments in Gold Coast, featuring stunning design and cultural significance.","10:00 - 17:00","Gold Coast"
"Ottawa Hillside Park",Nature,0.00,"Experience the breathtaking natural beauty of Ottawa at this serene location, offering scenic trails and native wildlife.","10:00 - 17:00",Ottawa
"Cape Town Royal Palace",Historic,27.00,"Centuries of history are embedded in the walls of this famous historical site located right in Cape Town.","9:00 - 19:00","Cape Town"
"Vancouver Cathedral",Historic,0.00,"Centuries of history are embedded in the walls of this famous historical site located right in Vancouver.","10:00 - 16:00",Vancouver
"The Great Los Angeles Hillside Park",Nature,45.00,"Lush green spaces and spectacular panoramic views make this one of Los Angeles's most cherished outdoor destinations.","8:00 - 20:00","Los Angeles"
"The Great New York Natural History Museum",Museum,5.00,"A world-class cultural institution in New York housing thousands of priceless historical and artistic treasures.","9:00 - 19:00","New York"
"The Great Hobart Wildlife Sanctuary",Nature,0.00,"Lush green spaces and spectacular panoramic views make this one of Hobart's most cherished outdoor destinations.","8:00 - 16:00",Hobart
"Manchester Bridge",Landmark,36.00,"An iconic symbol of Manchester's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 16:00",Manchester
"Vancouver Botanical Gardens",Nature,38.00,"Experience the breathtaking natural beauty of Vancouver at this serene location, offering scenic trails and native wildlife.","8:00 - 20:00",Vancouver
"The Great Munich Nature Reserve",Nature,17.00,"Experience the breathtaking natural beauty of Munich at this serene location, offering scenic trails and native wildlife.","9:00 - 17:00",Munich
"The Great Nice Gallery",Museum,13.00,"Discover the fascinating origins of Nice through beautifully curated galleries and expert-led tours.","10:00 - 17:00",Nice
"The Great Austin Heritage House",Historic,0.00,"Step back in time and walk the ancient grounds where Austin's most defining historical moments took place.","9:00 - 20:00",Austin
"Sapporo Heritage House",Historic,0.00,"Centuries of history are embedded in the walls of this famous historical site located right in Sapporo.","8:00 - 17:00",Sapporo
"The Great Quebec City Heritage House",Historic,36.00,"Centuries of history are embedded in the walls of this famous historical site located right in Quebec City.","9:00 - 19:00","Quebec City"
"The Great Turin Central Plaza",Landmark,30.00,"One of the most photographed monuments in Turin, featuring stunning design and cultural significance.","8:00 - 20:00",Turin
"The Great Nara Hillside Park",Nature,6.00,"Experience the breathtaking natural beauty of Nara at this serene location, offering scenic trails and native wildlife.","9:00 - 18:00",Nara
"Toronto Observatory",Landmark,25.00,"An iconic symbol of Toronto's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 20:00",Toronto
"Nagoya Natural History Museum",Museum,8.00,"Immerse yourself in Nagoya's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 17:00",Nagoya
"The Great Tokyo Aviation Museum",Museum,0.00,"Immerse yourself in Tokyo's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 20:00",Tokyo
"The Great Ibiza Natural History Museum",Museum,22.00,"A world-class cultural institution in Ibiza housing thousands of priceless historical and artistic treasures.","9:00 - 17:00",Ibiza
"The Great Turin Old Town Hall",Historic,16.00,"Step back in time and walk the ancient grounds where Turin's most defining historical moments took place.","9:00 - 19:00",Turin
"The Great Rome Ancient Fort",Historic,20.00,"Centuries of history are embedded in the walls of this famous historical site located right in Rome.","10:00 - 17:00",Rome
"Nice Gallery",Museum,38.00,"Discover the fascinating origins of Nice through beautifully curated galleries and expert-led tours.","8:00 - 19:00",Nice
"The Great Toronto Observatory",Landmark,24.00,"An iconic symbol of Toronto's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 19:00",Toronto
"Durban Old Town Hall",Historic,0.00,"Step back in time and walk the ancient grounds where Durban's most defining historical moments took place.","8:00 - 16:00",Durban
"The Great Nice Square",Landmark,36.00,"One of the most photographed monuments in Nice, featuring stunning design and cultural significance.","10:00 - 18:00",Nice
"The Great Gold Coast Royal Palace",Historic,32.00,"Step back in time and walk the ancient grounds where Gold Coast's most defining historical moments took place.","8:00 - 16:00","Gold Coast"
"Calgary Hillside Park",Nature,0.00,"Lush green spaces and spectacular panoramic views make this one of Calgary's most cherished outdoor destinations.","8:00 - 16:00",Calgary
"The Great Canberra Science Exhibit",Museum,45.00,"Immerse yourself in Canberra's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 19:00",Canberra
"Bloemfontein River Walk",Nature,45.00,"Experience the breathtaking natural beauty of Bloemfontein at this serene location, offering scenic trails and native wildlife.","9:00 - 16:00",Bloemfontein
"Venice Hillside Park",Nature,21.00,"Lush green spaces and spectacular panoramic views make this one of Venice's most cherished outdoor destinations.","10:00 - 18:00",Venice
"Chicago Bridge",Landmark,31.00,"One of the most photographed monuments in Chicago, featuring stunning design and cultural significance.","8:00 - 17:00",Chicago
"The Great Berlin Royal Palace",Historic,43.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Berlin.","10:00 - 19:00",Berlin
"Nara Observatory",Landmark,26.00,"An iconic symbol of Nara's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 17:00",Nara
"Sapporo Monument",Landmark,11.00,"A masterpiece of engineering and art. No visit to Sapporo is complete without seeing this majestic structure.","8:00 - 20:00",Sapporo
"London Heritage House",Historic,13.00,"Step back in time and walk the ancient grounds where London's most defining historical moments took place.","9:00 - 17:00",London
"The Great Johannesburg Heritage House",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Johannesburg.","8:00 - 16:00",Johannesburg
"Venice Ancient Fort",Historic,21.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Venice.","9:00 - 16:00",Venice
"Sydney Cultural Centre",Museum,16.00,"A world-class cultural institution in Sydney housing thousands of priceless historical and artistic treasures.","9:00 - 16:00",Sydney
"Dubai Gallery",Museum,41.00,"A world-class cultural institution in Dubai housing thousands of priceless historical and artistic treasures.","9:00 - 17:00",Dubai
"The Great Brisbane River Walk",Nature,41.00,"Lush green spaces and spectacular panoramic views make this one of Brisbane's most cherished outdoor destinations.","10:00 - 20:00",Brisbane
"The Great Dubai Hillside Park",Nature,8.00,"Experience the breathtaking natural beauty of Dubai at this serene location, offering scenic trails and native wildlife.","10:00 - 16:00",Dubai
"Austin Botanical Gardens",Nature,42.00,"A perfectly preserved natural reserve in the heart of Austin. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 18:00",Austin
"Knysna River Walk",Nature,0.00,"A perfectly preserved natural reserve in the heart of Knysna. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 19:00",Knysna
"The Great Hobart Natural History Museum",Museum,38.00,"Immerse yourself in Hobart's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 20:00",Hobart
"The Great Los Angeles National Park",Nature,35.00,"A perfectly preserved natural reserve in the heart of Los Angeles. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 19:00","Los Angeles"
"The Great Mallorca Tower",Landmark,38.00,"An iconic symbol of Mallorca's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 18:00",Mallorca
"Birmingham Aviation Museum",Museum,33.00,"Discover the fascinating origins of Birmingham through beautifully curated galleries and expert-led tours.","9:00 - 20:00",Birmingham
"Barcelona Cultural Centre",Museum,25.00,"Immerse yourself in Barcelona's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 18:00",Barcelona
"Osaka Observatory",Landmark,40.00,"A masterpiece of engineering and art. No visit to Osaka is complete without seeing this majestic structure.","8:00 - 16:00",Osaka
"The Great Cairns Royal Palace",Historic,19.00,"Step back in time and walk the ancient grounds where Cairns's most defining historical moments took place.","8:00 - 17:00",Cairns
"The Great Stellenbosch Royal Palace",Historic,41.00,"Centuries of history are embedded in the walls of this famous historical site located right in Stellenbosch.","8:00 - 18:00",Stellenbosch
"The Great Austin Royal Palace",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Austin.","10:00 - 18:00",Austin
"The Great Belfast Monument",Landmark,37.00,"A masterpiece of engineering and art. No visit to Belfast is complete without seeing this majestic structure.","9:00 - 19:00",Belfast
"The Great Madrid Observatory",Landmark,28.00,"A masterpiece of engineering and art. No visit to Madrid is complete without seeing this majestic structure.","8:00 - 20:00",Madrid
"The Great San Francisco Gallery",Museum,41.00,"A world-class cultural institution in San Francisco housing thousands of priceless historical and artistic treasures.","9:00 - 19:00","San Francisco"
"The Great Paris Cathedral",Historic,9.00,"Centuries of history are embedded in the walls of this famous historical site located right in Paris.","9:00 - 20:00",Paris
"Granada Gallery",Museum,16.00,"Discover the fascinating origins of Granada through beautifully curated galleries and expert-led tours.","9:00 - 20:00",Granada
"The Great Pisa Wildlife Sanctuary",Nature,27.00,"A perfectly preserved natural reserve in the heart of Pisa. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 20:00",Pisa
"Los Angeles Tower",Landmark,25.00,"An iconic symbol of Los Angeles's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 19:00","Los Angeles"
"Melbourne Royal Palace",Historic,18.00,"Centuries of history are embedded in the walls of this famous historical site located right in Melbourne.","10:00 - 18:00",Melbourne
"The Great Sydney Tower",Landmark,27.00,"One of the most photographed monuments in Sydney, featuring stunning design and cultural significance.","10:00 - 18:00",Sydney
"Cairns Observatory",Landmark,0.00,"A masterpiece of engineering and art. No visit to Cairns is complete without seeing this majestic structure.","9:00 - 16:00",Cairns
"Rome Central Plaza",Landmark,32.00,"One of the most photographed monuments in Rome, featuring stunning design and cultural significance.","10:00 - 20:00",Rome
"The Great Toulouse Monument",Landmark,27.00,"One of the most photographed monuments in Toulouse, featuring stunning design and cultural significance.","9:00 - 17:00",Toulouse
"Edmonton Heritage House",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Edmonton.","9:00 - 19:00",Edmonton
"New York Castle Ruins",Historic,5.00,"Step back in time and walk the ancient grounds where New York's most defining historical moments took place.","9:00 - 19:00","New York"
"Dusseldorf River Walk",Nature,21.00,"A perfectly preserved natural reserve in the heart of Dusseldorf. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 17:00",Dusseldorf
"The Great Melbourne Heritage House",Historic,16.00,"Step back in time and walk the ancient grounds where Melbourne's most defining historical moments took place.","8:00 - 16:00",Melbourne
"Ottawa Aviation Museum",Museum,29.00,"Discover the fascinating origins of Ottawa through beautifully curated galleries and expert-led tours.","10:00 - 17:00",Ottawa
"Edinburgh Aviation Museum",Museum,29.00,"Discover the fascinating origins of Edinburgh through beautifully curated galleries and expert-led tours.","10:00 - 19:00",Edinburgh
"The Great Dubai Cathedral",Historic,0.00,"Centuries of history are embedded in the walls of this famous historical site located right in Dubai.","9:00 - 17:00",Dubai
"Genoa Cathedral",Historic,5.00,"Step back in time and walk the ancient grounds where Genoa's most defining historical moments took place.","9:00 - 19:00",Genoa
"Ottawa Central Plaza",Landmark,9.00,"An iconic symbol of Ottawa's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 20:00",Ottawa
"The Great Venice Castle Ruins",Historic,43.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Venice.","9:00 - 18:00",Venice
"The Great Valencia Bridge",Landmark,39.00,"An iconic symbol of Valencia's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 18:00",Valencia
"The Great Miami Central Plaza",Landmark,0.00,"One of the most photographed monuments in Miami, featuring stunning design and cultural significance.","10:00 - 17:00",Miami
"Dubai Square",Landmark,14.00,"An iconic symbol of Dubai's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 18:00",Dubai
"The Great Malaga Castle Ruins",Historic,39.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Malaga.","10:00 - 19:00",Malaga
"Seattle Hillside Park",Nature,12.00,"Lush green spaces and spectacular panoramic views make this one of Seattle's most cherished outdoor destinations.","9:00 - 18:00",Seattle
"Tokyo River Walk",Nature,38.00,"Lush green spaces and spectacular panoramic views make this one of Tokyo's most cherished outdoor destinations.","9:00 - 16:00",Tokyo
"Dubai Square",Landmark,41.00,"An iconic symbol of Dubai's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 16:00",Dubai
"The Great Bali Square",Landmark,7.00,"An iconic symbol of Bali's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 16:00",Bali
"The Great Barcelona Tower",Landmark,29.00,"One of the most photographed monuments in Barcelona, featuring stunning design and cultural significance.","8:00 - 16:00",Barcelona
"The Great Palermo Wildlife Sanctuary",Nature,0.00,"Lush green spaces and spectacular panoramic views make this one of Palermo's most cherished outdoor destinations.","8:00 - 20:00",Palermo
"Bordeaux River Walk",Nature,43.00,"Experience the breathtaking natural beauty of Bordeaux at this serene location, offering scenic trails and native wildlife.","8:00 - 17:00",Bordeaux
"Gold Coast Science Exhibit",Museum,44.00,"A world-class cultural institution in Gold Coast housing thousands of priceless historical and artistic treasures.","9:00 - 20:00","Gold Coast"
"The Great Darwin Square",Landmark,40.00,"One of the most photographed monuments in Darwin, featuring stunning design and cultural significance.","8:00 - 18:00",Darwin
"The Great Nantes Museum of Art",Museum,24.00,"A world-class cultural institution in Nantes housing thousands of priceless historical and artistic treasures.","10:00 - 18:00",Nantes
"Munich Aviation Museum",Museum,30.00,"Discover the fascinating origins of Munich through beautifully curated galleries and expert-led tours.","8:00 - 16:00",Munich
"The Great Kimberley Ancient Fort",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Kimberley.","8:00 - 19:00",Kimberley
"Osaka Square",Landmark,38.00,"A masterpiece of engineering and art. No visit to Osaka is complete without seeing this majestic structure.","10:00 - 17:00",Osaka
"Whistler Botanical Gardens",Nature,0.00,"Lush green spaces and spectacular panoramic views make this one of Whistler's most cherished outdoor destinations.","8:00 - 17:00",Whistler
"The Great Florence Central Plaza",Landmark,35.00,"A masterpiece of engineering and art. No visit to Florence is complete without seeing this majestic structure.","8:00 - 20:00",Florence
"London Wildlife Sanctuary",Nature,15.00,"Experience the breathtaking natural beauty of London at this serene location, offering scenic trails and native wildlife.","8:00 - 19:00",London
"Austin Old Town Hall",Historic,33.00,"Centuries of history are embedded in the walls of this famous historical site located right in Austin.","10:00 - 18:00",Austin
"Rome Observatory",Landmark,0.00,"One of the most photographed monuments in Rome, featuring stunning design and cultural significance.","9:00 - 19:00",Rome
"Canberra Nature Reserve",Nature,37.00,"Lush green spaces and spectacular panoramic views make this one of Canberra's most cherished outdoor destinations.","9:00 - 20:00",Canberra
"The Great Belfast Nature Reserve",Nature,0.00,"Experience the breathtaking natural beauty of Belfast at this serene location, offering scenic trails and native wildlife.","9:00 - 19:00",Belfast
"Bologna Aviation Museum",Museum,28.00,"Immerse yourself in Bologna's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 18:00",Bologna
"The Great Cape Town Wildlife Sanctuary",Nature,44.00,"A perfectly preserved natural reserve in the heart of Cape Town. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 18:00","Cape Town"
"Kimberley Wildlife Sanctuary",Nature,41.00,"Experience the breathtaking natural beauty of Kimberley at this serene location, offering scenic trails and native wildlife.","9:00 - 20:00",Kimberley
"Birmingham Tower",Landmark,22.00,"One of the most photographed monuments in Birmingham, featuring stunning design and cultural significance.","10:00 - 16:00",Birmingham
"Valencia Botanical Gardens",Nature,42.00,"Lush green spaces and spectacular panoramic views make this one of Valencia's most cherished outdoor destinations.","10:00 - 18:00",Valencia
"New York Castle Ruins",Historic,45.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of New York.","8:00 - 18:00","New York"
"The Great New York Royal Palace",Historic,30.00,"Step back in time and walk the ancient grounds where New York's most defining historical moments took place.","10:00 - 17:00","New York"
"The Great Birmingham Monument",Landmark,0.00,"One of the most photographed monuments in Birmingham, featuring stunning design and cultural significance.","9:00 - 16:00",Birmingham
"The Great Canberra Cultural Centre",Museum,0.00,"Immerse yourself in Canberra's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 20:00",Canberra
"The Great Dresden Castle Ruins",Historic,0.00,"Step back in time and walk the ancient grounds where Dresden's most defining historical moments took place.","9:00 - 18:00",Dresden
"The Great Kyoto Museum of Art",Museum,18.00,"Immerse yourself in Kyoto's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 17:00",Kyoto
"Paris Heritage House",Historic,0.00,"Centuries of history are embedded in the walls of this famous historical site located right in Paris.","9:00 - 20:00",Paris
